adj_em,adj_o,luck,adj_tempo,sos_adj_em,sos_adj_o,sos_adj_d,nc_sos_adj_em,ncaa_seed,T2_adj_em,T2_adj_o,T2_luck,T2_adj_tempo,T2_sos_adj_em,T2_sos_adj_o,T2_sos_adj_d,T2_nc_sos_adj_em,T2_ncaa_seed
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,32.36,119.9,-0.033,65.8,7.37,108.3,100.9,0.09,2.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,16.44,114.7,0.045,69.3,6.09,107.2,101.1,-3.44,5.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,22.14,116.6,-0.035,61.5,10.22,108.9,98.7,-0.51,3.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,2.27,110.2,0.065,66.9,-3.33,102.4,105.7,-1.68,15.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,13.85,111.9,0.009000000000000001,62.8,0.94,104.8,103.9,-0.31,11.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,11.87,111.3,0.001,68.3,1.83,106.0,104.2,0.81,12.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,20.09,110.2,-0.023,63.2,9.72,110.6,100.9,0.69,6.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,16.69,119.4,-0.055,70.4,3.96,107.0,103.0,3.78,11.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,14.15,108.2,-0.016,59.8,3.39,104.9,101.5,1.69,8.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,2.38,106.7,0.006,64.1,-6.45,102.2,108.6,-1.05,16.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,15.0,119.7,0.055999999999999994,66.7,3.16,105.3,102.2,-3.78,10.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,14.24,109.2,0.022000000000000002,63.4,3.39,105.4,102.0,0.07,11.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,32.48,124.5,0.067,65.8,11.17,110.7,99.5,1.31,1.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,3.25,112.9,0.067,68.2,-3.75,104.2,108.0,3.94,13.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,19.13,114.3,0.0,64.0,10.23,110.5,100.3,3.24,4.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,15.09,109.6,0.001,64.1,8.73,108.6,99.9,1.41,10.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,10.32,111.6,-0.003,62.4,-1.47,102.4,103.9,3.63,14.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,27.78,121.7,0.018000000000000002,64.7,4.37,107.3,102.9,3.0,2.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,-7.4,96.6,0.031,69.2,-7.48,99.5,106.9,-0.55,16.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,9.23,104.8,0.091,61.1,-0.18,104.3,104.5,0.36,13.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,13.83,119.8,-0.044000000000000004,66.6,6.92,107.8,100.9,-5.96,10.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,19.02,114.2,-0.006999999999999999,63.7,8.58,108.9,100.4,-1.58,7.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,21.49,119.0,0.005,69.6,10.59,109.0,98.5,-1.18,3.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,22.72,114.5,0.07,67.0,13.17,110.6,97.4,9.57,2.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,36.91,121.3,0.048,62.4,8.58,108.7,100.1,3.13,1.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,-2.14,112.9,0.09699999999999999,64.6,-4.01,103.0,107.0,-0.45,16.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,21.21,110.2,0.027000000000000003,64.6,9.69,109.5,99.8,-2.36,4.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,13.76,108.9,-0.043,69.3,5.09,106.2,101.2,-4.77,9.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,0.31,101.9,-0.001,67.7,-3.59,102.0,105.6,-0.4,16.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,15.68,111.3,0.127,63.9,7.15,108.3,101.1,-3.33,4.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,21.72,116.6,-0.017,63.1,10.49,110.3,99.8,-0.88,7.0
3.29,107.2,0.054000000000000006,60.8,-5.5,100.4,105.9,0.18,14.0,13.88,114.5,-0.033,66.2,7.1,107.3,100.2,-1.19,11.0
