,adj_em,adj_o,luck,adj_tempo,sos_adj_em,sos_adj_o,sos_adj_d,nc_sos_adj_em,ncaa_seed,T2_adj_em,T2_adj_o,T2_luck,T2_adj_tempo,T2_sos_adj_em,T2_sos_adj_o,T2_sos_adj_d,T2_nc_sos_adj_em,T2_ncaa_seed,Team1Win
591,21.58,115.4,-0.057999999999999996,64.9,9.96,108.5,98.5,1.51,7.0,27.15,115.4,0.019,63.7,11.08,111.0,99.9,5.93,2.0,0.0
592,16.23,115.7,0.008,66.6,9.34,109.5,100.2,-2.74,6.0,18.87,111.7,0.004,60.0,6.79,107.6,100.9,-4.96,3.0,1.0
593,18.87,111.7,0.004,60.0,6.79,107.6,100.9,-4.96,3.0,16.23,115.7,0.008,66.6,9.34,109.5,100.2,-2.74,6.0,0.0
594,30.81,122.8,0.027999999999999997,65.8,8.73,109.1,100.3,-6.87,1.0,18.31,110.7,0.002,66.5,9.37,109.8,100.4,1.08,9.0,1.0
595,18.31,110.7,0.002,66.5,9.37,109.8,100.4,1.08,9.0,30.81,122.8,0.027999999999999997,65.8,8.73,109.1,100.3,-6.87,1.0,0.0
596,27.81,115.3,0.031,68.7,6.86,108.1,101.2,-0.93,1.0,21.73,117.0,-0.028999999999999998,65.8,13.23,111.0,97.8,8.21,8.0,1.0
597,21.73,117.0,-0.028999999999999998,65.8,13.23,111.0,97.8,8.21,8.0,27.81,115.3,0.031,68.7,6.86,108.1,101.2,-0.93,1.0,0.0
598,24.81,115.4,0.03,68.4,2.93,105.3,102.4,3.41,2.0,16.09,117.2,0.03,66.3,1.98,104.2,102.2,1.53,7.0,1.0
599,16.09,117.2,0.03,66.3,1.98,104.2,102.2,1.53,7.0,24.81,115.4,0.03,68.4,2.93,105.3,102.4,3.41,2.0,0.0
600,20.76,118.3,0.031,66.0,7.19,108.0,100.8,-9.09,3.0,14.81,112.9,0.055,61.9,-2.71,103.1,105.8,15.06,11.0,1.0
601,14.81,112.9,0.055,61.9,-2.71,103.1,105.8,15.06,11.0,20.76,118.3,0.031,66.0,7.19,108.0,100.8,-9.09,3.0,0.0
602,21.03,109.8,0.017,61.0,10.19,110.2,100.0,7.3,4.0,17.38,112.4,-0.004,63.7,9.85,109.9,100.1,0.79,5.0,1.0
603,17.38,112.4,-0.004,63.7,9.85,109.9,100.1,0.79,5.0,21.03,109.8,0.017,61.0,10.19,110.2,100.0,7.3,4.0,0.0
604,18.29,115.9,0.035,71.3,10.57,110.3,99.8,1.81,5.0,15.43,114.1,0.006,67.9,8.27,109.2,100.9,-4.35,4.0,1.0
605,15.43,114.1,0.006,67.9,8.27,109.2,100.9,-4.35,4.0,18.29,115.9,0.035,71.3,10.57,110.3,99.8,1.81,5.0,0.0
606,16.83,112.6,0.098,65.2,5.61,109.1,103.5,2.29,7.0,25.45,115.6,0.034,63.8,7.78,108.1,100.3,-1.57,2.0,1.0
607,25.45,115.6,0.034,63.8,7.78,108.1,100.3,-1.57,2.0,16.83,112.6,0.098,65.2,5.61,109.1,103.5,2.29,7.0,0.0
608,16.86,111.0,0.016,67.1,8.26,108.3,100.0,-6.62,5.0,19.24,119.5,-0.008,67.6,7.56,108.1,100.6,-2.0,4.0,1.0
609,19.24,119.5,-0.008,67.6,7.56,108.1,100.6,-2.0,4.0,16.86,111.0,0.016,67.1,8.26,108.3,100.0,-6.62,5.0,0.0
610,27.81,115.3,0.031,68.7,6.86,108.1,101.2,-0.93,1.0,21.03,109.8,0.017,61.0,10.19,110.2,100.0,7.3,4.0,1.0
611,21.03,109.8,0.017,61.0,10.19,110.2,100.0,7.3,4.0,27.81,115.3,0.031,68.7,6.86,108.1,101.2,-0.93,1.0,0.0
612,24.81,115.4,0.03,68.4,2.93,105.3,102.4,3.41,2.0,26.97,119.3,-0.047,63.7,5.38,106.7,101.4,-5.98,3.0,1.0
613,26.97,119.3,-0.047,63.7,5.38,106.7,101.4,-5.98,3.0,24.81,115.4,0.03,68.4,2.93,105.3,102.4,3.41,2.0,0.0
614,29.33,121.0,0.057,64.9,9.82,109.0,99.2,-1.71,1.0,18.29,115.9,0.035,71.3,10.57,110.3,99.8,1.81,5.0,1.0
615,18.29,115.9,0.035,71.3,10.57,110.3,99.8,1.81,5.0,29.33,121.0,0.057,64.9,9.82,109.0,99.2,-1.71,1.0,0.0
616,27.15,115.4,0.019,63.7,11.08,111.0,99.9,5.93,2.0,22.9,118.1,0.033,62.2,9.54,109.6,100.1,0.72,3.0,1.0
617,22.9,118.1,0.033,62.2,9.54,109.6,100.1,0.72,3.0,27.15,115.4,0.019,63.7,11.08,111.0,99.9,5.93,2.0,0.0
618,30.81,122.8,0.027999999999999997,65.8,8.73,109.1,100.3,-6.87,1.0,21.45,118.0,0.016,58.1,4.77,106.6,101.8,6.61,5.0,1.0
619,21.45,118.0,0.016,58.1,4.77,106.6,101.8,6.61,5.0,30.81,122.8,0.027999999999999997,65.8,8.73,109.1,100.3,-6.87,1.0,0.0
620,28.48,122.0,0.006,59.4,10.41,109.7,99.3,-1.02,2.0,16.23,115.7,0.008,66.6,9.34,109.5,100.2,-2.74,6.0,1.0
621,16.23,115.7,0.008,66.6,9.34,109.5,100.2,-2.74,6.0,28.48,122.0,0.006,59.4,10.41,109.7,99.3,-1.02,2.0,0.0
622,31.37,121.0,-0.046,72.4,10.95,111.0,100.1,3.1,1.0,16.86,111.0,0.016,67.1,8.26,108.3,100.0,-6.62,5.0,1.0
623,16.86,111.0,0.016,67.1,8.26,108.3,100.0,-6.62,5.0,31.37,121.0,-0.046,72.4,10.95,111.0,100.1,3.1,1.0,0.0
624,20.76,118.3,0.031,66.0,7.19,108.0,100.8,-9.09,3.0,16.83,112.6,0.098,65.2,5.61,109.1,103.5,2.29,7.0,1.0
625,16.83,112.6,0.098,65.2,5.61,109.1,103.5,2.29,7.0,20.76,118.3,0.031,66.0,7.19,108.0,100.8,-9.09,3.0,0.0
626,29.33,121.0,0.057,64.9,9.82,109.0,99.2,-1.71,1.0,24.81,115.4,0.03,68.4,2.93,105.3,102.4,3.41,2.0,1.0
627,24.81,115.4,0.03,68.4,2.93,105.3,102.4,3.41,2.0,29.33,121.0,0.057,64.9,9.82,109.0,99.2,-1.71,1.0,0.0
628,27.15,115.4,0.019,63.7,11.08,111.0,99.9,5.93,2.0,27.81,115.3,0.031,68.7,6.86,108.1,101.2,-0.93,1.0,1.0
629,27.81,115.3,0.031,68.7,6.86,108.1,101.2,-0.93,1.0,27.15,115.4,0.019,63.7,11.08,111.0,99.9,5.93,2.0,0.0
630,30.81,122.8,0.027999999999999997,65.8,8.73,109.1,100.3,-6.87,1.0,20.76,118.3,0.031,66.0,7.19,108.0,100.8,-9.09,3.0,1.0
631,20.76,118.3,0.031,66.0,7.19,108.0,100.8,-9.09,3.0,30.81,122.8,0.027999999999999997,65.8,8.73,109.1,100.3,-6.87,1.0,0.0
632,28.48,122.0,0.006,59.4,10.41,109.7,99.3,-1.02,2.0,31.37,121.0,-0.046,72.4,10.95,111.0,100.1,3.1,1.0,1.0
633,31.37,121.0,-0.046,72.4,10.95,111.0,100.1,3.1,1.0,28.48,122.0,0.006,59.4,10.41,109.7,99.3,-1.02,2.0,0.0
634,30.81,122.8,0.027999999999999997,65.8,8.73,109.1,100.3,-6.87,1.0,27.15,115.4,0.019,63.7,11.08,111.0,99.9,5.93,2.0,1.0
635,27.15,115.4,0.019,63.7,11.08,111.0,99.9,5.93,2.0,30.81,122.8,0.027999999999999997,65.8,8.73,109.1,100.3,-6.87,1.0,0.0
636,29.33,121.0,0.057,64.9,9.82,109.0,99.2,-1.71,1.0,28.48,122.0,0.006,59.4,10.41,109.7,99.3,-1.02,2.0,1.0
637,28.48,122.0,0.006,59.4,10.41,109.7,99.3,-1.02,2.0,29.33,121.0,0.057,64.9,9.82,109.0,99.2,-1.71,1.0,0.0
638,30.81,122.8,0.027999999999999997,65.8,8.73,109.1,100.3,-6.87,1.0,29.33,121.0,0.057,64.9,9.82,109.0,99.2,-1.71,1.0,1.0
639,29.33,121.0,0.057,64.9,9.82,109.0,99.2,-1.71,1.0,30.81,122.8,0.027999999999999997,65.8,8.73,109.1,100.3,-6.87,1.0,0.0
640,-1.32,99.3,0.013999999999999999,66.1,-5.35,101.6,106.9,-0.05,16.0,-14.41,92.4,0.065,62.9,-7.38,98.1,105.5,7.87,16.0,1.0
641,-14.41,92.4,0.065,62.9,-7.38,98.1,105.5,7.87,16.0,-1.32,99.3,0.013999999999999999,66.1,-5.35,101.6,106.9,-0.05,16.0,0.0
642,26.4,116.3,-0.006,71.5,10.06,109.1,99.0,3.36,2.0,3.53,109.7,0.075,68.6,-5.21,100.9,106.1,0.51,15.0,1.0
643,3.53,109.7,0.075,68.6,-5.21,100.9,106.1,0.51,15.0,26.4,116.3,-0.006,71.5,10.06,109.1,99.0,3.36,2.0,0.0
644,35.21,120.9,0.012,66.8,9.57,109.2,99.6,-1.41,1.0,5.4,108.6,0.062,66.3,-3.5,102.7,106.2,3.95,16.0,1.0
645,5.4,108.6,0.062,66.3,-3.5,102.7,106.2,3.95,16.0,35.21,120.9,0.012,66.8,9.57,109.2,99.6,-1.41,1.0,0.0
646,18.9,114.2,-0.049,69.7,9.09,108.0,98.9,-2.73,11.0,18.67,110.5,-0.005,65.2,11.18,109.7,98.5,0.4,6.0,1.0
647,18.67,110.5,-0.005,65.2,11.18,109.7,98.5,0.4,6.0,18.9,114.2,-0.049,69.7,9.09,108.0,98.9,-2.73,11.0,0.0
648,22.16,115.3,-0.027000000000000003,66.6,8.62,107.9,99.3,-6.37,6.0,10.01,107.8,0.01,62.4,6.74,107.4,100.7,-3.13,11.0,1.0
649,10.01,107.8,0.01,62.4,6.74,107.4,100.7,-3.13,11.0,22.16,115.3,-0.027000000000000003,66.6,8.62,107.9,99.3,-6.37,6.0,0.0
650,21.15,115.8,0.032,63.3,8.71,108.2,99.5,0.59,5.0,12.37,112.8,-0.018000000000000002,63.6,6.08,107.4,101.3,3.73,12.0,1.0
651,12.37,112.8,-0.018000000000000002,63.6,6.08,107.4,101.3,3.73,12.0,21.15,115.8,0.032,63.3,8.71,108.2,99.5,0.59,5.0,0.0
652,19.07,114.6,0.042,69.5,6.88,107.5,100.6,-7.02,5.0,9.68,110.7,-0.01,61.6,-0.57,102.6,103.2,2.28,12.0,1.0
653,9.68,110.7,-0.01,61.6,-0.57,102.6,103.2,2.28,12.0,19.07,114.6,0.042,69.5,6.88,107.5,100.6,-7.02,5.0,0.0
654,19.91,116.5,0.027000000000000003,63.9,9.52,107.8,98.3,-1.69,4.0,10.27,104.7,0.032,63.6,-0.01,105.4,105.4,8.75,13.0,1.0
655,10.27,104.7,0.032,63.6,-0.01,105.4,105.4,8.75,13.0,19.91,116.5,0.027000000000000003,63.9,9.52,107.8,98.3,-1.69,4.0,0.0
656,18.3,110.5,-0.025,66.9,6.41,106.2,99.7,-3.61,6.0,14.82,115.7,-0.027999999999999997,70.1,7.58,106.9,99.3,-4.83,11.0,1.0
657,14.82,115.7,-0.027999999999999997,70.1,7.58,106.9,99.3,-4.83,11.0,18.3,110.5,-0.025,66.9,6.41,106.2,99.7,-3.61,6.0,0.0
658,22.75,113.6,0.04,63.4,9.32,109.1,99.7,-6.32,3.0,4.41,110.1,0.086,67.9,-6.93,99.1,106.0,-3.59,14.0,1.0
659,4.41,110.1,0.086,67.9,-6.93,99.1,106.0,-3.59,14.0,22.75,113.6,0.04,63.4,9.32,109.1,99.7,-6.32,3.0,0.0
660,19.93,112.3,0.004,61.8,8.28,107.4,99.1,-5.13,9.0,15.76,107.4,0.027000000000000003,67.8,1.47,104.2,102.7,-4.23,8.0,1.0
661,15.76,107.4,0.027000000000000003,67.8,1.47,104.2,102.7,-4.23,8.0,19.93,112.3,0.004,61.8,8.28,107.4,99.1,-5.13,9.0,0.0
662,29.94,118.0,0.047,64.1,10.03,109.3,99.3,-1.63,1.0,-15.21,91.9,0.115,63.0,-11.0,96.7,107.7,13.04,16.0,1.0
663,-15.21,91.9,0.115,63.0,-11.0,96.7,107.7,13.04,16.0,29.94,118.0,0.047,64.1,10.03,109.3,99.3,-1.63,1.0,0.0
664,13.71,110.2,0.081,63.9,3.1,104.3,101.2,-0.86,8.0,13.04,107.8,0.075,65.1,1.03,103.5,102.5,-0.11,9.0,1.0
665,13.04,107.8,0.075,65.1,1.03,103.5,102.5,-0.11,9.0,13.71,110.2,0.081,63.9,3.1,104.3,101.2,-0.86,8.0,0.0
666,24.32,115.1,-0.004,58.3,8.99,109.0,100.0,-6.51,4.0,6.38,99.5,0.0,61.6,-1.01,105.1,106.1,7.81,13.0,1.0
667,6.38,99.5,0.0,61.6,-1.01,105.1,106.1,7.81,13.0,24.32,115.1,-0.004,58.3,8.99,109.0,100.0,-6.51,4.0,0.0
668,21.29,114.6,-0.019,63.8,9.0,108.5,99.5,-1.98,7.0,19.14,116.4,-0.079,63.5,12.72,110.3,97.6,8.75,10.0,1.0
669,19.14,116.4,-0.079,63.5,12.72,110.3,97.6,8.75,10.0,21.29,114.6,-0.019,63.8,9.0,108.5,99.5,-1.98,7.0,0.0
670,26.68,113.5,0.043,61.1,7.35,107.1,99.8,-0.19,3.0,8.47,112.3,-0.01,71.6,-3.95,101.5,105.5,-3.01,14.0,1.0
671,8.47,112.3,-0.01,71.6,-3.95,101.5,105.5,-3.01,14.0,26.68,113.5,0.043,61.1,7.35,107.1,99.8,-0.19,3.0,0.0
672,22.05,117.3,0.054000000000000006,63.8,6.94,108.1,101.2,3.5,3.0,8.08,104.3,-0.032,64.7,7.55,108.5,101.0,-4.1,14.0,1.0
673,8.08,104.3,-0.032,64.7,7.55,108.5,101.0,-4.1,14.0,22.05,117.3,0.054000000000000006,63.8,6.94,108.1,101.2,3.5,3.0,0.0
674,15.19,111.4,0.008,66.5,7.19,108.4,101.2,-0.61,9.0,18.43,114.6,0.037000000000000005,66.2,6.28,106.6,100.3,-2.3,8.0,1.0
675,18.43,114.6,0.037000000000000005,66.2,6.28,106.6,100.3,-2.3,8.0,15.19,111.4,0.008,66.5,7.19,108.4,101.2,-0.61,9.0,0.0
676,19.97,116.2,0.002,59.5,2.79,104.3,101.5,5.43,7.0,11.8,112.6,-0.002,64.8,-2.07,103.1,105.2,0.9,10.0,1.0
677,11.8,112.6,-0.002,64.8,-2.07,103.1,105.2,0.9,10.0,19.97,116.2,0.002,59.5,2.79,104.3,101.5,5.43,7.0,0.0
678,23.61,117.0,-0.036000000000000004,66.2,3.36,105.2,101.8,14.93,10.0,19.05,114.5,-0.028999999999999998,65.9,2.57,104.0,101.5,7.71,7.0,1.0
679,19.05,114.5,-0.028999999999999998,65.9,2.57,104.0,101.5,7.71,7.0,23.61,117.0,-0.036000000000000004,66.2,3.36,105.2,101.8,14.93,10.0,0.0
