adj_em,adj_o,luck,adj_tempo,sos_adj_em,sos_adj_o,sos_adj_d,nc_sos_adj_em,ncaa_seed,T2_adj_em,T2_adj_o,T2_luck,T2_adj_tempo,T2_sos_adj_em,T2_sos_adj_o,T2_sos_adj_d,T2_nc_sos_adj_em,T2_ncaa_seed
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,16.25,116.1,0.086,69.7,8.37,108.6,100.2,-1.55,8.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,24.23,117.1,0.023,63.7,13.08,111.7,98.6,1.67,3.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,9.38,109.7,0.006,70.0,-3.62,101.4,105.0,0.89,13.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,20.76,117.7,0.002,65.9,10.81,110.8,100.0,5.12,4.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,22.18,114.9,0.026000000000000002,63.5,4.17,107.1,103.0,-0.47,6.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,18.83,115.3,0.004,71.2,8.97,110.3,101.3,-1.24,6.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,15.57,111.9,-0.021,68.4,3.64,105.9,102.3,2.53,7.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,24.17,121.0,0.013999999999999999,68.3,11.43,111.0,99.6,0.03,2.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,11.1,108.0,0.005,70.1,-1.17,105.4,106.6,0.38,13.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,5.07,109.4,0.037000000000000005,65.9,-4.8,103.7,108.5,2.14,14.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,27.5,116.9,-0.040999999999999995,69.0,12.46,110.3,97.8,8.19,4.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,20.06,115.5,0.039,71.3,8.82,110.6,101.8,-3.95,3.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,32.05,118.4,0.02,70.1,2.99,106.2,103.3,1.01,1.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,4.2,110.8,0.013000000000000001,70.6,-1.94,103.7,105.7,-0.05,14.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,23.45,119.7,-0.019,68.4,14.05,112.6,98.6,-0.74,5.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,0.63,105.8,0.027999999999999997,63.6,-1.68,104.2,105.9,0.61,15.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,27.45,121.9,0.067,70.2,12.43,111.2,98.8,2.39,1.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,17.44,113.0,-0.028999999999999998,66.2,11.56,110.6,99.0,-5.31,11.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,1.68,104.9,0.024,68.3,-1.92,104.4,106.3,-5.91,14.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,27.72,119.1,0.006,72.0,10.98,110.5,99.5,3.74,2.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,25.51,117.2,-0.023,67.9,11.14,111.6,100.5,4.2,2.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,16.58,120.8,-0.057999999999999996,70.1,9.03,109.1,100.1,-2.16,10.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,14.34,113.1,0.061,67.2,7.74,108.3,100.6,-1.1,6.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,15.03,109.9,0.031,63.0,9.39,110.7,101.3,-4.48,8.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,23.05,122.3,-0.025,63.1,10.76,110.3,99.5,-0.53,7.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,15.51,111.4,-0.011000000000000001,66.9,10.99,110.6,99.6,4.01,9.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,16.0,109.7,0.022000000000000002,69.5,8.09,108.9,100.8,-1.81,5.0
23.31,118.4,0.046,66.0,7.13,108.7,101.5,1.69,2.0,-3.86,99.5,0.07400000000000001,66.8,-4.49,102.0,106.5,11.52,16.0
