rank,team,conference,record,adj_em,adj_o,adj_o_rank,adj_d,adj_d_rank,adj_tempo,adj_tempo_rank,luck,luck_rank,sos_adj_em,sos_adj_em_rank,sos_adj_o,sos_adj_o_rank,sos_adj_d,sos_adj_d_rank,nc_sos_adj_em,nc_sos_adj_em_rank,ncaa_seed,Season,TeamName
311,Stephen F. Austin,Slnd,14-16,-12.75,95.3,318,108.1,251,68.7,113,0.036,90,-6.2,291,101.6,279,107.8,315,3.96,68,,2019,SF Austin
312,Denver,Sum,8-22,-13.12,99.7,261,112.8,326,67,202,-0.062,316,-3.2,229,103.4,186,106.6,254,-0.78,188,,2019,Denver
313,Wagner,NEC,13-17,-13.44,93.8,330,107.2,234,63.6,331,0.043,76,-6.88,308,101.3,286,108.2,329,-0.08,172,,2019,Wagner
314,Niagara,MAAC,13-19,-13.55,101.6,225,115.1,345,69.5,80,0.031,98,-8.8,342,98.2,343,107,277,-7.67,338,,2019,Niagara
315,Saint Peter's,MAAC,10-22,-13.63,94.4,328,108,248,63.1,341,-0.013,224,-7.24,319,100.6,307,107.9,319,-2.31,233,,2019,St Peter's
316,Arkansas Pine Bluff,SWAC,13-19,-13.64,96.1,312,109.7,277,65.1,300,0.023,123,-7.09,313,98.8,337,105.9,216,6.16,27,,2019,Ark Pine Bluff
317,Wyoming,MWC,8-24,-13.65,95,321,108.6,257,68.3,133,0.003,177,-1,171,103.9,167,104.9,193,-3.92,283,,2019,Wyoming
318,Florida A&M;,MEAC,12-19,-14.27,88.9,347,103.2,150,64.8,314,-0.007,199,-7.23,318,99.7,326,106.9,270,4.94,47,,2019,Florida A&M;
319,Jackson St.,SWAC,13-19,-14.84,89.8,343,104.6,177,65,305,0.007,163,-8.79,341,98.7,339,107.5,306,5.41,39,,2019,Jackson St
320,Central Connecticut,NEC,11-20,-14.87,97,298,111.8,313,69,99,0.006,165,-5.98,288,101.2,289,107.2,289,3.06,94,,2019,Central Conn
321,UC Riverside,BW,10-23,-14.95,98.1,286,113,329,63.1,339,-0.023,240,-3.14,227,102.1,250,105.3,199,-1.87,224,,2019,UC Riverside
322,Tennessee Tech,OVC,8-23,-15.19,89.4,344,104.6,178,68.1,138,-0.042,282,-3.19,228,104.1,157,107.3,293,1.29,127,,2019,Tennessee Tech
323,Manhattan,MAAC,11-21,-15.22,89.4,346,104.6,175,61.7,351,0.021,127,-7.85,331,100,323,107.8,318,-4.23,290,,2019,Manhattan
324,Mount St. Mary's,NEC,9-22,-15.23,94.6,325,109.8,281,67,201,-0.012,217,-5.25,281,102.1,253,107.4,295,5.27,41,,2019,Mt St Mary's
325,Bryant,NEC,10-20,-15.6,99.3,266,114.9,343,67.5,172,0.026,111,-7.45,323,100.1,318,107.5,308,-2.41,238,,2019,Bryant
326,Portland,WCC,7-25,-15.63,94.2,329,109.9,282,66.7,220,-0.011,214,0.15,142,103.5,185,103.3,121,-7.49,335,,2019,Portland
327,Stetson,ASun,7-24,-15.82,97.6,291,113.4,331,68.7,111,-0.054,302,-2.99,224,101.3,282,104.3,174,-2.98,255,,2019,Stetson
328,Idaho St.,BSky,11-19,-16.29,101.8,218,118.1,350,66.7,217,0.067,34,-5.12,279,102.4,235,107.5,307,7.77,12,,2019,Idaho St
329,Alabama St.,SWAC,12-19,-16.36,94.6,326,111,304,67.1,198,0.024,120,-6.96,310,99.4,331,106.4,241,12.56,1,,2019,Alabama St
330,SIU Edwardsville,OVC,10-21,-16.48,96.5,302,113,328,69.5,79,0.033,96,-5.01,277,102.4,237,107.4,296,-5.25,312,,2019,SIU Edwardsville
331,McNeese St.,Slnd,9-22,-16.56,98,287,114.5,340,66.2,245,-0.047,290,-5.84,286,101.1,296,106.9,274,5.13,43,,2019,McNeese St
332,Binghamton,AE,10-23,-16.75,95.9,314,112.6,323,65.7,269,0.003,179,-4.59,266,100.6,309,105.1,197,-2.88,252,,2019,Binghamton
333,Cal Poly,BW,6-23,-17.79,96.8,300,114.6,341,66,255,-0.068,320,-3.75,248,101.6,277,105.4,203,-2.38,236,,2019,Cal Poly
334,Morgan St.,MEAC,9-21,-18.04,92.5,337,110.5,296,71.9,22,-0.074,328,-12.88,353,97,352,109.9,353,-0.3,177,,2019,Morgan St
335,Southern,SWAC,7-25,-18.41,93.7,331,112.1,315,65.5,280,-0.082,332,-7.17,316,99.3,333,106.5,246,7.63,13,,2019,Southern Univ
336,USC Upstate,BSth,6-26,-18.54,92.8,335,111.3,308,67.9,146,-0.049,293,-3.13,226,103.3,194,106.4,243,-1.02,198,,2019,USC Upstate
337,Maine,AE,5-27,-18.65,93.1,333,111.7,311,63.9,329,-0.058,309,-2.72,219,101.8,271,104.6,181,1.69,115,,2019,Maine
338,South Carolina St.,MEAC,8-26,-18.82,97.9,290,116.7,348,66.8,211,-0.037,269,-7.81,329,98.9,335,106.7,256,6.64,24,,2019,S Carolina St
339,Kennesaw St.,ASun,6-26,-19.15,91.6,339,110.8,301,68.1,141,0.04,82,0.95,121,103.9,162,103,110,4.14,61,,2019,Kennesaw St
340,Northwestern St.,Slnd,11-20,-19.73,89.9,341,109.6,276,68.4,121,0.069,32,-6.35,296,100.7,302,107.1,282,3.74,75,,2019,Northwestern LA
341,Savannah St.,MEAC,11-20,-19.77,96.2,309,116,347,74.7,3,0.061,41,-10.11,347,97.3,349,107.5,303,4.71,50,,2019,Savannah St
342,Coppin St.,MEAC,8-25,-20.56,88.5,349,109.1,264,70.1,61,0.01,151,-7.71,326,99.4,332,107.1,281,8.15,10,,2019,Coppin St
343,San Jose St.,MWC,4-27,-21.85,91.7,338,113.6,333,69.1,90,-0.021,234,-0.97,168,103.6,179,104.5,179,-4.79,303,,2019,San Jose St
344,Alabama A&M;,SWAC,5-27,-22.66,86.5,350,109.1,265,65.5,282,-0.044,285,-8.2,336,98.9,336,107.1,278,0.41,155,,2019,Alabama A&M;
345,Incarnate Word,Slnd,6-25,-22.87,97.4,293,120.2,353,64.8,310,-0.066,318,-4.91,275,101.2,290,106.1,230,4.56,53,,2019,Incarnate Word
346,New Hampshire,AE,5-24,-23.05,84.2,353,107.2,235,65.5,283,-0.015,228,-6.03,290,101.4,281,107.4,298,-4.55,296,,2019,New Hampshire
347,Idaho,BSky,5-27,-23.9,94.8,322,118.7,352,65.2,293,-0.036,267,-6.82,304,102.1,257,108.9,348,-3.31,263,,2019,Idaho
348,UNC Asheville,BSth,4-27,-24.11,92.8,336,116.9,349,61.8,350,-0.032,258,-0.98,170,104.9,120,105.9,215,4.64,52,,2019,UNC Asheville
349,Alcorn St.,SWAC,10-21,-24.64,88.8,348,113.4,332,65.6,277,0.031,99,-8.03,334,98.6,341,106.6,252,8.35,9,,2019,Alcorn St
350,Mississippi Valley St.,SWAC,6-26,-25.09,89.4,345,114.5,339,69.1,95,-0.018,231,-6.41,298,99.5,329,105.9,219,6.95,20,,2019,MS Valley St
351,Chicago St.,WAC,3-29,-27.9,90.3,340,118.2,351,70,63,-0.012,218,3.43,82,105.5,93,102,83,5.93,29,,2019,Chicago St
352,Delaware St.,MEAC,6-25,-29.66,84.2,352,113.9,334,69.5,77,0.008,158,-9.81,345,97.8,346,107.6,309,0.88,139,,2019,Delaware St
353,Maryland Eastern Shore,MEAC,7-25,-29.7,85.1,351,114.8,342,62.9,343,0.024,118,-7.69,325,99.4,330,107.1,287,5.83,32,,2019,Maryland Eastern Shore
