rank,team,conference,record,adj_em,adj_o,adj_o_rank,adj_d,adj_d_rank,adj_tempo,adj_tempo_rank,luck,luck_rank,sos_adj_em,sos_adj_em_rank,sos_adj_o,sos_adj_o_rank,sos_adj_d,sos_adj_d_rank,nc_sos_adj_em,nc_sos_adj_em_rank,ncaa_seed,Season,TeamName
194,IUPUI,Horz,16-16,-2.56,103.8,182,106.4,220,68.4,120,-0.057,308,-3.59,241,103.3,193,106.8,266,-3.6,270,,2019,IUPUI
195,Mercer,SC,11-20,-2.6,103.5,188,106.1,214,66.7,221,-0.113,349,1.85,100,106.1,78,104.2,166,1.54,119,,2019,Mercer
196,Hawaii,BW,18-13,-3.03,103.5,189,106.5,223,66.2,241,-0.005,194,-5.89,287,100.7,303,106.6,253,-5.04,308,,2019,Hawaii
197,Iona,MAAC,17-15,-3.08,106.5,132,109.6,275,70.5,45,-0.025,245,-6.63,300,100,322,106.6,251,0.92,137,16,2019,Iona
198,American,Pat,15-15,-3.13,101.8,221,104.9,186,66.4,233,-0.119,351,-7.36,322,100.4,313,107.7,314,-10.5,349,,2019,American Univ
199,North Dakota St.,Sum,18-15,-3.2,106.6,127,109.8,278,64.8,312,0.052,63,-3.07,225,104.5,135,107.6,312,3.73,77,16,2019,N Dakota St
200,Illinois Chicago,Horz,16-16,-3.21,100.4,252,103.6,154,69.9,65,-0.002,186,-2.37,209,104.4,141,106.8,262,0.7,147,,2019,IL Chicago
201,Richmond,A10,13-20,-3.23,106.8,121,110,285,65.8,266,-0.088,336,-2.66,215,101.2,293,103.8,141,-7.87,339,,2019,Richmond
202,FIU,CUSA,19-13,-3.25,101.9,217,105.1,190,77.4,1,0.104,7,-1.24,180,101.7,274,103,107,-2.22,231,,2019,FIU
203,Cal St. Fullerton,BW,16-17,-3.44,98.9,275,102.3,138,69.7,73,0.01,152,-1.02,173,103.5,184,104.5,177,7.27,17,,2019,CS Fullerton
204,Illinois St.,MVC,17-16,-3.5,101,240,104.5,174,66.6,223,0.084,21,-0.35,156,102.9,217,103.3,119,1.23,129,,2019,Illinois St
205,Appalachian St.,SB,11-21,-3.61,105.9,141,109.5,274,71.4,27,-0.083,333,1.23,115,105.1,113,103.9,147,5.2,42,,2019,Appalachian St
206,Green Bay,Horz,17-16,-3.62,102.8,202,106.5,221,73.5,12,0.084,22,-0.4,157,105.3,102,105.7,211,7.55,16,,2019,WI Green Bay
207,Indiana St.,MVC,15-16,-4.14,101,242,105.1,191,68.8,106,0.026,112,0.07,144,102.5,232,102.4,93,2.92,95,,2019,Indiana St
208,Fairleigh Dickinson,NEC,20-13,-4.25,106.2,137,110.4,295,66.8,214,0.01,153,-8.75,340,98.7,340,107.4,299,-1.51,212,16,2019,F Dickinson
